GEO ID,County,State Abbreviation,State,Year,County PrEP-to-Need Ratio,Male PrEP-to-Need Ratio,Female PrEP-to-Need Ratio,Age LE 24 PrEP-to-Need Ratio,Age 25-34 PrEP-to-Need Ratio,Age 35-44 PrEP-to-Need Ratio,Age 45-54 PrEP-to-Need Ratio,Age 55+ PrEP-to-Need Ratio
1001,Autauga County,AL,Alabama,2018,1.3,-1,-1,-1,-1,-1,-1,-1
1003,Baldwin County,AL,Alabama,2018,4.73,-1,-1,-1,-1,2,-1,-1
1005,Barbour County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1007,Bibb County,AL,Alabama,2018,0.88,-1,-1,-1,-1,-1,-1,-1
1009,Blount County,AL,Alabama,2018,2.67,-1,-1,-1,-1,-1,-1,-1
1011,Bullock County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1013,Butler County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1015,Calhoun County,AL,Alabama,2018,1.92,-1,-1,-1,1,-1,-1,-1
1017,Chambers County,AL,Alabama,2018,1.33,-1,-1,-1,1.2,-1,-1,-1
1019,Cherokee County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1021,Chilton County,AL,Alabama,2018,1.71,-1,-1,-1,-1,-1,-1,-1
1023,Choctaw County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1025,Clarke County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1027,Clay County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1029,Cleburne County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1031,Coffee County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1033,Colbert County,AL,Alabama,2018,2.57,-1,-1,-1,-1,-1,-1,-1
1035,Conecuh County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1037,Coosa County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1039,Covington County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1041,Crenshaw County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1043,Cullman County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1045,Dale County,AL,Alabama,2018,1.83,-1,-1,-1,-1,-1,-1,-1
1047,Dallas County,AL,Alabama,2018,1.33,-1,-1,-1,-1,-1,-1,-1
1049,DeKalb County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1051,Elmore County,AL,Alabama,2018,2.5,-1,-1,-1,-1,-1,-1,-1
1053,Escambia County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1055,Etowah County,AL,Alabama,2018,3.56,-1,-1,-1,-1,-1,-1,-1
1057,Fayette County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1059,Franklin County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1061,Geneva County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1063,Greene County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1065,Hale County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1067,Henry County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1069,Houston County,AL,Alabama,2018,1.16,-1,-1,-1,-1,1.17,-1,-1
1071,Jackson County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1073,Jefferson County,AL,Alabama,2018,2.96,3.71,0.69,1.44,2.94,6.93,4.05,2.42
1075,Lamar County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1077,Lauderdale County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1079,Lawrence County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1081,Lee County,AL,Alabama,2018,2.29,-1,-1,-1,3.38,-1,-1,-1
1083,Limestone County,AL,Alabama,2018,4,-1,-1,-1,-1,-1,-1,-1
1085,Lowndes County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1087,Macon County,AL,Alabama,2018,1.2,-1,-1,-1,-1,-1,-1,-1
1089,Madison County,AL,Alabama,2018,5.6,6.97,1.5,-1,5.32,9,7,-1
1091,Marengo County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1093,Marion County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1095,Marshall County,AL,Alabama,2018,3.88,-1,-1,-1,-1,-1,-1,-1
1097,Mobile County,AL,Alabama,2018,1.9,2.78,0.29,1.47,2.59,1.71,2.33,0.93
1099,Monroe County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1101,Montgomery County,AL,Alabama,2018,1.25,1.44,0.71,-1,2.28,0.85,1.71,-1
1103,Morgan County,AL,Alabama,2018,8.4,-1,-1,-1,-1,-1,-1,-1
1105,Perry County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1107,Pickens County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1109,Pike County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1111,Randolph County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1113,Russell County,AL,Alabama,2018,2.57,-1,-1,-1,-1,-1,-1,-1
1115,St. Clair County,AL,Alabama,2018,2.88,-1,-1,-1,-1,-1,-1,-1
1117,Shelby County,AL,Alabama,2018,7.91,-1,-1,-1,-1,-1,-1,-1
1119,Sumter County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1121,Talladega County,AL,Alabama,2018,3.67,-1,-1,-1,-1,-1,-1,-1
1123,Tallapoosa County,AL,Alabama,2018,2.17,-1,-1,-1,-1,-1,-1,-1
1125,Tuscaloosa County,AL,Alabama,2018,2.04,2.14,1.8,-1,3.07,3.5,-1,-1
1127,Walker County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1129,Washington County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1131,Wilcox County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
1133,Winston County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1
2013,Aleutians East Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2016,Aleutians West Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2020,Anchorage Municipality,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2050,Bethel Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2060,Bristol Bay Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2068,Denali Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2070,Dillingham Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2090,Fairbanks North Star Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2100,Haines Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2105,Hoonah-Angoon Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2110,Juneau City and Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2122,Kenai Peninsula Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2130,Ketchikan Gateway Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2150,Kodiak Island Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2158,Kusilvak Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2164,Lake and Peninsula Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2170,Matanuska-Susitna Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2180,Nome Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2185,North Slope Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2188,Northwest Arctic Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2195,Petersburg Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2198,Prince of Wales-Hyder Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2220,Sitka City and Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2230,Skagway Municipality,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2240,Southeast Fairbanks Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2261,Valdez-Cordova Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2275,Wrangell City and Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2282,Yakutat City and Borough,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
2290,Yukon-Koyukuk Census Area,AK,Alaska,2018,-4,-4,-4,-4,-4,-4,-4,-4
4001,Apache County,AZ,Arizona,2018,1.17,-1,-1,-1,-1,-1,-1,-1
4003,Cochise County,AZ,Arizona,2018,5.6,-1,-1,-1,-1,-1,-1,-1
4005,Coconino County,AZ,Arizona,2018,1.39,-1,-1,-1,1.5,-1,-1,-1
4007,Gila County,AZ,Arizona,2018,-1,-1,-1,-1,-1,-1,-1,-1
4009,Graham County,AZ,Arizona,2018,-1,-1,-1,-1,-1,-1,-1,-1
4011,Greenlee County,AZ,Arizona,2018,-1,-1,-1,-1,-1,-1,-1,-1
4012,La Paz County,AZ,Arizona,2018,-1,-1,-1,-1,-1,-1,-1,-1
4013,Maricopa County,AZ,Arizona,2018,4.4,4.85,1.5,3.06,5.06,4.93,4.75,3.57
4015,Mohave County,AZ,Arizona,2018,4.63,-1,-1,-1,-1,-1,-1,-1
4017,Navajo County,AZ,Arizona,2018,1.82,-1,-1,-1,-1,-1,-1,-1
4019,Pima County,AZ,Arizona,2018,3.41,3.8,1.18,2.54,3.95,5.2,2.33,3.75
4021,Pinal County,AZ,Arizona,2018,2,2.23,0.83,-1,2.67,1.29,1,-1
4023,Santa Cruz County,AZ,Arizona,2018,1.67,-1,-1,-1,-1,-1,-1,-1
4025,Yavapai County,AZ,Arizona,2018,4,-1,-1,-1,-1,-1,-1,-1
4027,Yuma County,AZ,Arizona,2018,3.56,-1,-1,-1,3.71,-1,2.2,-1
5001,Arkansas County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5003,Ashley County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5005,Baxter County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5007,Benton County,AR,Arkansas,2018,9.33,-1,-1,-1,5.33,-1,-1,-1
5009,Boone County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5011,Bradley County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5013,Calhoun County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5015,Carroll County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5017,Chicot County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5019,Clark County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5021,Clay County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5023,Cleburne County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5025,Cleveland County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5027,Columbia County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5029,Conway County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5031,Craighead County,AR,Arkansas,2018,2.4,-1,-1,-1,-1,-1,-1,-1
5033,Crawford County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5035,Crittenden County,AR,Arkansas,2018,1.33,-1,-1,-1,-1,-1,-1,-1
5037,Cross County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5039,Dallas County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5041,Desha County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5043,Drew County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5045,Faulkner County,AR,Arkansas,2018,2.31,-1,-1,-1,1.11,-1,-1,-1
5047,Franklin County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5049,Fulton County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5051,Garland County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5053,Grant County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5055,Greene County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5057,Hempstead County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5059,Hot Spring County,AR,Arkansas,2018,0.64,-1,-1,-1,-1,-1,-1,-1
5061,Howard County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5063,Independence County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5065,Izard County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5067,Jackson County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5069,Jefferson County,AR,Arkansas,2018,1,-1,-1,-1,-1,-1,-1,-1
5071,Johnson County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5073,Lafayette County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5075,Lawrence County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5077,Lee County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5079,Lincoln County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5081,Little River County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5083,Logan County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5085,Lonoke County,AR,Arkansas,2018,3.6,-1,-1,-1,-1,-1,-1,-1
5087,Madison County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5089,Marion County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5091,Miller County,AR,Arkansas,2018,0.64,-1,-1,-1,-1,-1,-1,-1
5093,Mississippi County,AR,Arkansas,2018,1,-1,-1,-1,-1,-1,-1,-1
5095,Monroe County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5097,Montgomery County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5099,Nevada County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5101,Newton County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5103,Ouachita County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5105,Perry County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5107,Phillips County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5109,Pike County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5111,Poinsett County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5113,Polk County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5115,Pope County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5117,Prairie County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5119,Pulaski County,AR,Arkansas,2018,2.13,2.41,0.82,0.89,2.19,5.29,2.5,1.5
5121,Randolph County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5123,St. Francis County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5125,Saline County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5127,Scott County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5129,Searcy County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5131,Sebastian County,AR,Arkansas,2018,2.33,-1,-1,-1,-1,-1,-1,-1
5133,Sevier County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5135,Sharp County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5137,Stone County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5139,Union County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5141,Van Buren County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5143,Washington County,AR,Arkansas,2018,4.47,-1,-1,-1,4.14,-1,-1,-1
5145,White County,AR,Arkansas,2018,4.2,-1,-1,-1,-1,-1,-1,-1
5147,Woodruff County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
5149,Yell County,AR,Arkansas,2018,-1,-1,-1,-1,-1,-1,-1,-1
6001,Alameda County,CA,California,2018,6.58,6.82,4.27,7.84,7.2,6.22,7.07,4.36
6003,Alpine County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6005,Amador County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6007,Butte County,CA,California,2018,6.7,-1,-1,-1,-1,-1,-1,-1
6009,Calaveras County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6011,Colusa County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6013,Contra Costa County,CA,California,2018,4.87,5.14,2.86,3.73,5.26,5.45,5.29,4.6
6015,Del Norte County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6017,El Dorado County,CA,California,2018,9.67,-1,-1,-1,-1,-1,-1,-1
6019,Fresno County,CA,California,2018,2.2,2.26,1.65,1.66,2.77,2.48,2,2.78
6021,Glenn County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6023,Humboldt County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6025,Imperial County,CA,California,2018,5.05,5.69,0.83,-1,-1,-1,-1,-1
6027,Inyo County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6029,Kern County,CA,California,2018,3.13,3.03,4.13,-1,3.67,2.69,3.32,-1
6031,Kings County,CA,California,2018,2.72,-1,-1,-1,-1,-1,-1,-1
6033,Lake County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6035,Lassen County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6037,Los Angeles County,CA,California,2018,5.47,5.72,2.7,2.92,5.39,6.73,7.3,7.08
6039,Madera County,CA,California,2018,4,-1,-1,-1,-1,-1,-1,-1
6041,Marin County,CA,California,2018,11.06,-1,-1,-1,-1,-1,-1,-1
6043,Mariposa County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
6045,Mendocino County,CA,California,2018,-1,-2,-2,-2,-2,-2,-2,-2
