GEO ID,County,State Abbreviation,State,Year,County PrEP Users,County PrEP Rate,County PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability
1001,Autauga County,AL,Alabama,2018,13,28,Y,-1,-1,-1,-1,-1,-1,3,34,N,6,88,N,3,40,N,-1,-1,-1,-1,-1,-1
1003,Baldwin County,AL,Alabama,2018,52,30,Y,49,59,Y,4,5,N,-1,-1,-1,24,105,Y,10,39,N,10,36,N,-1,-1,-1
1005,Barbour County,AL,Alabama,2018,7,31,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,80,N,-1,-1,-1,-1,-1,-1,-1,-1,-1
1007,Bibb County,AL,Alabama,2018,7,36,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1009,Blount County,AL,Alabama,2018,16,33,Y,-1,-1,-1,-1,-1,-1,3,35,N,6,90,N,5,70,N,-1,-1,-1,-1,-1,-1
1011,Bullock County,AL,Alabama,2018,3,34,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1013,Butler County,AL,Alabama,2018,5,30,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1015,Calhoun County,AL,Alabama,2018,25,26,Y,23,49,Y,3,6,N,-1,-1,-1,9,60,N,5,36,N,8,53,N,-1,-1,-1
1017,Chambers County,AL,Alabama,2018,12,42,Y,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,152,N,-1,-1,-1,-1,-1,-1,-1,-1,-1
1019,Cherokee County,AL,Alabama,2018,8,36,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,119,N,-1,-1,-1,-1,-1,-1,-1,-1,-1
