GEO ID,State Abbreviation,State,County Name,Year,County Rate,County Rate Stability,County Cases,Male Rate,Male Rate Stability,Male Cases,Female Rate,Female Rate Stability,Female Cases,Black Rate,Black Rate Stability,Black Cases,White Rate,White Rate Stability,White Cases,Hispanic Rate,Hispanic Rate Stability,Hispanic Cases,Age 13-24 Rate,Age 13-24 Rate Stability,Age 13-24 Cases,Age 25-34 Rate,Age 25-34 Rate Stability,Age 25-34 Cases,Age 35-44 Rate,Age 35-44 Rate Stability,Age 35-44 Cases,Age 45-54 Rate,Age 45-54 Rate Stability,Age 45-54 Cases,Age 55+ Rate,Age 55+ Rate Stability,Age 55+ Cases,MSM Rate,MSM Percent,Male and IDU Percent,MSM/IDU Percent,Male and Heterosexual Contact Percent,Female and IDU Percent,Female and Heterosexual Contact Percent,MSM Cases,Male and IDU Cases,MSM/IDU Cases,Male and Heterosexual Contact Cases,Female and IDU Cases,Female and Heterosexual Contact Cases,Heterosexual Contact Cases,Heterosexual Contact Percent,IDU Cases,IDU Percent,Other Transmission Route Cases,Other Transmission Route Percent,Male and Other Transmission Route Cases,Male and Other Transmission Route Percent,Female and Other Transmission Route Cases,Female and Other Transmission Route Percent,Correctional Warning,2013 NCHS Urbanicity Code
1001,AL,Alabama,Autauga County,2018,230,Y,107,359,Y,80,112,Y,27,666,Y,59,120,Y,42,-1,-9,-1,59,N,5,251,Y,18,359,Y,26,296,Y,23,221,Y,35,26.6,81.3,-2,-1,-2,-2,-2,65,-2,-1,-2,-2,-2,27,25.2,-1,-1,0,0,-2,-2,-2,-2,0,3
1003,AL,Alabama,Baldwin County,2018,169,Y,313,260,Y,231,85,Y,82,681,Y,107,109,Y,171,152,N,11,37,N,11,204,Y,50,207,Y,54,324,Y,93,138,Y,105,13.7,75.8,-2,6.9,-2,-2,-2,175,-2,16,-2,-2,-2,92,29.4,21,6.7,8,2.6,-2,-2,-2,-2,1,4
1005,AL,Alabama,Barbour County,2018,471,Y,100,505,Y,57,433,Y,43,711,Y,71,118,Y,12,-1,-9,-1,-1,-9,-1,491,Y,17,738,Y,22,961,Y,31,-1,-9,-1,37.2,56.1,-2,10.5,-2,-2,-2,32,-2,6,-2,-2,-2,54,54,9,9,0,0,-2,-2,-2,-2,1,6
1007,AL,Alabama,Bibb County,2018,235,Y,45,381,Y,39,67,N,6,558,Y,23,119,Y,17,-1,-9,-1,-1,-9,-1,210,N,7,407,Y,12,535,Y,17,-1,-9,-1,17.1,82.1,-2,-1,-2,-2,-2,32,-2,-1,-2,-2,-2,9,20,-1,-1,-1,-1,-2,-2,-2,-2,1,2
1009,AL,Alabama,Blount County,2018,91,Y,44,130,Y,31,53,Y,13,869,N,6,70,Y,30,-1,-9,-1,0,N,0,87,N,6,142,N,10,217,Y,17,61,N,11,4.7,64.5,-2,19.4,-2,-2,-2,20,-2,6,-2,-2,-2,12,27.3,6,13.6,0,0,-2,-2,-2,-2,0,2
1011,AL,Alabama,Bullock County,2018,560,Y,48,677,Y,32,416,Y,16,709,Y,42,-1,-9,-1,-1,-9,-1,-1,-9,-1,459,N,7,764,N,10,954,Y,12,-1,-9,-1,66.7,75,-2,0,-2,-2,-2,24,-2,0,-2,-2,-2,18,37.5,7,14.6,0,0,-2,-2,-2,-2,1,6
1013,AL,Alabama,Butler County,2018,344,Y,57,452,Y,34,255,Y,23,638,Y,46,80,N,7,-1,-9,-1,-1,-9,-1,702,Y,16,335,N,8,519,Y,12,-1,-9,-1,45.5,73.5,-2,-1,-2,-2,-2,25,-2,-1,-2,-2,-2,23,40.4,7,12.3,-1,-1,-2,-2,-2,-2,0,6
1015,AL,Alabama,Calhoun County,2018,261,Y,253,413,Y,190,124,Y,63,677,Y,133,128,Y,91,411,Y,13,45,N,8,418,Y,63,337,Y,46,510,Y,73,174,Y,63,23.7,76.3,-2,6.8,-2,-2,-2,145,-2,13,-2,-2,-2,72,28.5,23,9.1,0,0,-2,-2,-2,-2,0,4
1017,AL,Alabama,Chambers County,2018,399,Y,114,642,Y,87,180,Y,27,881,Y,98,80,Y,13,0,N,0,150,N,7,567,Y,24,503,Y,19,749,Y,33,269,Y,31,67,77,-2,-1,-2,-2,-2,67,-2,-1,-2,-2,-2,36,31.6,-1,-1,0,0,-2,-2,-2,-2,0,5
1019,AL,Alabama,Cherokee County,2018,115,Y,26,162,Y,18,70,N,8,614,N,6,86,Y,18,-1,-9,-1,-1,-9,-1,254,N,7,217,N,6,139,N,5,-1,-9,-1,16.3,72.2,-2,-1,-2,-2,-2,13,-2,-1,-2,-2,-2,7,26.9,-1,-1,0,0,-2,-2,-2,-2,0,6
