geoid,state,abbr,county,pct_poverty,pct_hsed,med_hhincome,gini,pct_uninsured,pct_unemployed,pct_housingburden,syphillis_rate,fips_5,county_prep,county_pnr,prev_rate,black_prev_rate,,
01001,Alabama,AL,Autauga County,13.8,88.7,59338,0.4602,10,3.6,13.4,11,1001,13,1.3,230,666,,
01003,Alabama,AL,Baldwin County,9.8,90.3,57588,0.4609,13.2,3.6,11.7,4,1003,52,4.73,169,681,,
01005,Alabama,AL,Barbour County,30.9,73,34382,0.4731,13.5,5.1,14.1,20,1005,7,-1,471,711,,
01007,Alabama,AL,Bibb County,21.8,83.2,46064,0.4294,10.6,3.9,9.9,9,1007,7,0.88,235,558,,
01009,Alabama,AL,Blount County,13.2,80.2,50412,0.4331,14.1,3.5,8.5,0,1009,16,2.67,91,869,,-4
01011,Alabama,AL,Bullock County,42.5,75.2,29267,0.5174,11.9,4.6,18.5,19,1011,3,-1,560,709,,3051
01013,Alabama,AL,Butler County,24.5,84.6,37365,0.4708,11.9,4.7,11.5,10,1013,5,-1,344,638,,
01015,Alabama,AL,Calhoun County,19.5,84.1,45400,0.4676,11.1,4.6,11.7,0,1015,25,1.92,261,677,,-4
01017,Alabama,AL,Chambers County,18.7,81.4,39917,0.4568,11.6,3.8,12.4,12,1017,12,1.33,399,881,,17836
01019,Alabama,AL,Cherokee County,16.3,80.2,42132,0.4539,13.5,3.5,9.9,0,1019,8,-1,115,614,,
01021,Alabama,AL,Chilton County,17.3,82.2,47547,0.4845,16.3,3.6,12.2,2,1021,12,1.71,142,585,,
01023,Alabama,AL,Choctaw County,22.1,81.4,39907,0.4809,13.5,5.4,9.4,0,1023,-1,-1,226,395,,
01025,Alabama,AL,Clarke County,22.8,81.2,40741,0.5185,12.6,7.4,12.8,8,1025,6,-1,172,293,,
01027,Alabama,AL,Clay County,17.6,75.5,39201,0.4684,15.9,3.8,8,0,1027,3,-1,176,710,,
01029,Alabama,AL,Cleburne County,16,77.4,46495,0.4622,13.6,4.2,10,0,1029,3,-1,127,0,,
01031,Alabama,AL,Coffee County,13.8,86.2,55122,0.4427,12.5,3.9,9.5,8,1031,11,-1,141,448,,
01033,Alabama,AL,Colbert County,13.8,84.4,49055,0.4496,11.3,4.5,11.8,15,1033,18,2.57,112,310,,
01035,Alabama,AL,Conecuh County,24.4,80.8,32613,0.4354,12.5,5.1,8.9,0,1035,-1,-1,267,404,,
01037,Alabama,AL,Coosa County,18.9,79.6,42423,0.4646,12.6,4.1,9.6,0,1037,3,-1,169,315,,
01039,Alabama,AL,Covington County,19.9,82.9,40203,0.4553,12.2,4.5,10,3,1039,7,-1,154,400,,
01041,Alabama,AL,Crenshaw County,19.5,78.4,39057,0.504,12.8,4,8.8,0,1041,3,-1,181,441,,
01043,Alabama,AL,Cullman County,14.5,81.8,45796,0.4548,13.8,3.2,9.9,4,1043,25,-1,93,598,,
01045,Alabama,AL,Dale County,16.2,85.8,45309,0.45,11,4.1,12.9,2,1045,11,1.83,312,782,,
01047,Alabama,AL,Dallas County,31.4,80.7,34035,0.4885,11.4,6.4,16.6,3,1047,8,1.33,473,611,,
01049,Alabama,AL,DeKalb County,21.3,74.1,39491,0.4748,18.8,3.8,9.9,1,1049,22,-1,103,-1,,
01051,Alabama,AL,Elmore County,11.2,86.4,60367,0.4359,9.9,3.4,10.3,7,1051,20,2.5,274,733,,
01053,Alabama,AL,Escambia County,23.6,81.5,38418,0.4823,14.9,4.5,10.5,0,1053,9,-1,230,476,,
01055,Alabama,AL,Etowah County,17.5,84.5,44903,0.4483,12.5,4,9.3,0,1055,32,3.56,215,591,,
01057,Alabama,AL,Fayette County,23.5,82.4,39254,0.4635,12.3,4,10.2,0,1057,4,-1,108,310,,
01059,Alabama,AL,Franklin County,19.2,76.8,39388,0.4224,16.4,3.7,7.9,0,1059,9,-1,74,-1,,
01061,Alabama,AL,Geneva County,21.3,79.1,37823,0.4413,14.2,3.9,11.7,0,1061,6,-1,170,289,,
01063,Alabama,AL,Greene County,30.1,75.9,28524,0.5041,11.7,6.6,19,0,1063,4,-1,419,384,,
01065,Alabama,AL,Hale County,25.6,83.6,34724,0.5071,11.4,5,13.8,7,1065,5,-1,432,614,,
01067,Alabama,AL,Henry County,17.9,80.2,46027,0.435,13.9,4.4,8.9,6,1067,4,-1,251,599,,
01069,Alabama,AL,Houston County,16.5,85.7,47993,0.4808,12.7,4,12.4,15,1069,22,1.16,396,1046,,
01071,Alabama,AL,Jackson County,19.7,82.5,41929,0.4616,13.3,4,10.3,0,1071,30,-1,79,-1,,
01073,Alabama,AL,Jefferson County,16.1,89.7,55013,0.4996,11.1,3.7,15.1,17,1073,418,2.96,666,1065,,
01075,Alabama,AL,Lamar County,17.4,82.4,40936,0.4623,11.9,3.7,7.1,0,1075,3,-1,144,-1,,
01077,Alabama,AL,Lauderdale County,14,87.4,48707,0.4672,11.7,4.1,10.9,21,1077,31,-1,104,406,,
01079,Alabama,AL,Lawrence County,19.3,79,43909,0.4389,13.9,4.1,9.2,6,1079,12,-1,104,453,,
01081,Alabama,AL,Lee County,19,90.5,48937,0.5081,10.5,3.6,17.5,4,1081,48,2.29,226,640,,
01083,Alabama,AL,Limestone County,11.4,84.3,64863,0.4509,10.9,3.5,9.5,1,1083,32,4,132,374,,
01085,Alabama,AL,Lowndes County,25.1,77.5,33973,0.4999,11.7,7.2,16.7,10,1085,3,-1,624,760,,
01087,Alabama,AL,Macon County,30.2,81.7,32495,0.5145,11.6,5.3,18.3,21,1087,6,1.2,536,606,,
01089,Alabama,AL,Madison County,11.9,91.1,63755,0.4673,9.5,3.4,11,13,1089,241,5.6,258,601,,
01091,Alabama,AL,Marengo County,24,83.8,37733,0.5386,10.6,4.9,15.5,0,1091,4,-1,163,187,,
01093,Alabama,AL,Marion County,20.2,79.7,37887,0.4596,13.1,4,9.5,0,1093,7,-1,110,512,,
01095,Alabama,AL,Marshall County,18.3,80.9,46233,0.4805,14.4,3.3,12,1,1095,31,3.88,150,378,,
01097,Alabama,AL,Mobile County,20.8,86.2,43598,0.4765,13.1,4.6,14.8,16,1097,156,1.9,537,1118,,
01099,Alabama,AL,Monroe County,21.9,83.7,39556,0.5477,13.7,6,12.9,5,1099,4,-1,179,304,,
01101,Alabama,AL,Montgomery County,20.1,85.6,49640,0.4929,12.2,3.9,17,31,1101,89,1.25,785,1095,,
01103,Alabama,AL,Morgan County,13.2,83.3,52797,0.4511,13.2,3.4,10.2,3,1103,42,8.4,146,408,,
01105,Alabama,AL,Perry County,35.3,78.1,26814,0.479,11.7,6.4,18.5,0,1105,-1,-1,373,490,,
01107,Alabama,AL,Pickens County,23.1,80.6,37586,0.4997,12.2,4.5,11.4,10,1107,10,-1,285,479,,
01109,Alabama,AL,Pike County,23.6,81,37259,0.5343,14,4.5,16.4,27,1109,8,-1,380,772,,
01111,Alabama,AL,Randolph County,19.7,78.8,40546,0.4733,13.1,4,10.9,0,1111,5,-1,73,219,,
01113,Alabama,AL,Russell County,21.7,83.3,39104,0.454,12,4,15.6,19,1113,18,2.57,402,584,,
01115,Alabama,AL,St. Clair County,12,84.8,57284,0.4068,11.5,3.4,10.1,1,1115,23,2.88,167,546,,
01117,Alabama,AL,Shelby County,8,92.2,75663,0.4344,8.1,2.8,9.2,3,1117,87,7.91,166,493,,
01119,Alabama,AL,Sumter County,34.7,84.2,27859,0.5469,13.4,5.7,18.3,16,1119,5,-1,338,416,,
01121,Alabama,AL,Talladega County,19.3,81,41630,0.4584,12,4.2,11.6,5,1121,22,3.67,259,453,,
01123,Alabama,AL,Tallapoosa County,19.7,80.5,42205,0.4617,11.8,4.1,13.4,0,1123,13,2.17,218,519,,
01125,Alabama,AL,Tuscaloosa County,16.8,88.4,52557,0.463,10.1,3.6,15.2,13,1125,98,2.04,279,641,,
01127,Alabama,AL,Walker County,17.9,80.9,45434,0.4587,13,4.2,10.2,3,1127,15,-1,138,474,,
01129,Alabama,AL,Washington County,17.6,80.4,44424,0.4684,13.8,5.7,7.8,0,1129,5,-1,101,276,,
01131,Alabama,AL,Wilcox County,33.4,76.9,25385,0.5108,11.3,9.4,11,19,1131,-1,-1,327,424,,
