GEO ID,County,State Abbreviation,State,Year,County PrEP Users,County PrEP Rate,County PrEP Rate Stability,Male PrEP Users,Male PrEP Rate,Male PrEP Rate Stability,Female PrEP Users,Female PrEP Rate,Female PrEP Rate Stability,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age LE 24 PrEP Rate Stability,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 25-34 PrEP Rate Stability,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 35-44 PrEP Rate Stability,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 45-54 PrEP Rate Stability,Age 55+ PrEP Users,Age 55+ PrEP Rate,Age 55+ PrEP Rate Stability,Percent Living in Poverty,Percent High School Education,Median Household Income,Gini Coefficient,Percent Uninsured,Percent Unemployed,Percent Living with Severe Housing Cost Burden,Syphilis Rate
1001,Autauga County,AL,Alabama,2018,13,28,Y,-1,-1,-1,-1,-1,-1,3,34,N,6,88,N,3,40,N,-1,-1,-1,-1,-1,-1,13.8,88.7,59338,0.4602,10,3.6,13.4,11
1003,Baldwin County,AL,Alabama,2018,52,30,Y,49,59,Y,4,5,N,-1,-1,-1,24,105,Y,10,39,N,10,36,N,-1,-1,-1,9.8,90.3,57588,0.4609,13.2,3.6,11.7,4
1005,Barbour County,AL,Alabama,2018,7,31,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,80,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.9,73,34382,0.4731,13.5,5.1,14.1,20
1007,Bibb County,AL,Alabama,2018,7,36,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.8,83.2,46064,0.4294,10.6,3.9,9.9,9
1009,Blount County,AL,Alabama,2018,16,33,Y,-1,-1,-1,-1,-1,-1,3,35,N,6,90,N,5,70,N,-1,-1,-1,-1,-1,-1,13.2,80.2,50412,0.4331,14.1,3.5,8.5,0
1011,Bullock County,AL,Alabama,2018,3,34,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,42.5,75.2,29267,0.5174,11.9,4.6,18.5,19
1013,Butler County,AL,Alabama,2018,5,30,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.5,84.6,37365,0.4708,11.9,4.7,11.5,10
1015,Calhoun County,AL,Alabama,2018,25,26,Y,23,49,Y,3,6,N,-1,-1,-1,9,60,N,5,36,N,8,53,N,-1,-1,-1,19.5,84.1,45400,0.4676,11.1,4.6,11.7,0
1017,Chambers County,AL,Alabama,2018,12,42,Y,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,152,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.7,81.4,39917,0.4568,11.6,3.8,12.4,12
1019,Cherokee County,AL,Alabama,2018,8,36,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,119,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.3,80.2,42132,0.4539,13.5,3.5,9.9,0
1021,Chilton County,AL,Alabama,2018,12,33,Y,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,89,N,4,69,N,-1,-1,-1,-1,-1,-1,17.3,82.2,47547,0.4845,16.3,3.6,12.2,2
1023,Choctaw County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.1,81.4,39907,0.4809,13.5,5.4,9.4,0
1025,Clarke County,AL,Alabama,2018,6,29,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,115,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.8,81.2,40741,0.5185,12.6,7.4,12.8,8
1027,Clay County,AL,Alabama,2018,3,26,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.6,75.5,39201,0.4684,15.9,3.8,8,0
1029,Cleburne County,AL,Alabama,2018,3,24,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,77.4,46495,0.4622,13.6,4.2,10,0
1031,Coffee County,AL,Alabama,2018,11,26,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,47,N,3,45,N,-1,-1,-1,-1,-1,-1,13.8,86.2,55122,0.4427,12.5,3.9,9.5,8
1033,Colbert County,AL,Alabama,2018,18,39,Y,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,92,N,4,62,N,4,54,N,-1,-1,-1,13.8,84.4,49055,0.4496,11.3,4.5,11.8,15
1035,Conecuh County,AL,Alabama,2018,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.4,80.8,32613,0.4354,12.5,5.1,8.9,0
1037,Coosa County,AL,Alabama,2018,3,31,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.9,79.6,42423,0.4646,12.6,4.1,9.6,0
1039,Covington County,AL,Alabama,2018,7,22,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,71,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.9,82.9,40203,0.4553,12.2,4.5,10,3
1041,Crenshaw County,AL,Alabama,2018,3,26,N,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.5,78.4,39057,0.504,12.8,4,8.8,0
1043,Cullman County,AL,Alabama,2018,25,36,Y,22,65,Y,3,9,N,5,41,N,10,100,N,8,79,N,-1,-1,-1,-1,-1,-1,14.5,81.8,45796,0.4548,13.8,3.2,9.9,4
